,inchikey,hmdb,kegg,smiles
C00493_Shikimate,JXOHGGNKMLTUBP-HSUXUTPPSA-N,HMDB0003070,C00493,C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)O)O)O
C02515_3-Iodotyrosine,UQTZMGFTRHFAAM-ZETCQYMHSA-N,HMDB0000021,C02515,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O
C00010_CoA,RGJOEKWQDUBAIZ-IBOSZNHHSA-N,HMDB0001423,C00010,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O
C05852_2-Hydroxyphenylacetate,CCVYRRGZDBSHFU-UHFFFAOYSA-N,HMDB0000669,C05852,C1=CC=C(C(=C1)CC(=O)O)O
"C00054_Adenosine 3',5'-diphosphate",WHTCPDAXWFLDIH-KQYNXXCUSA-N,HMDB0000061,C00054,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O)N
"C01159_2,3-DPG",XOHUEYCVLUUEJJ-UWTATZPHSA-N,HMDB0001294,C01159,C([C@H](C(=O)O)OP(=O)(O)O)OP(=O)(O)O
C00565_Trimethylamine,GETQZCLCWQTVFV-UHFFFAOYSA-N,HMDB0000906,C00565,CN(C)C
C00355_DOPA,WTDRDQBEARUVNC-LURJTMIESA-N,HMDB0000609,C00355,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O
"C00986_1,3-Diaminopropane",XFNJVJPLKCPIBV-UHFFFAOYSA-N,HMDB0000002,C00986,C(CN)CN
C00711_Malate,BJEPYKJPYRNKOW-UHFFFAOYSA-N,HMDB0000156,C00711,C(C(C(=O)O)O)C(=O)O
C00169_Carbamoylphosphate,FFQKYPRQEYGKAF-UHFFFAOYSA-N,HMDB0001096,C00169,C(=O)(N)OP(=O)(O)O
"-_N1,N8-Diacetylspermidine",BKCVMAZDKFQPHB-UHFFFAOYSA-N,HMDB0041947,,CC(=O)NCCCCNCCCNC(=O)C
"C03030_2,4-Dihydroxypyrimidine-5-carboxylate",ZXYAAVBXHKCJJB-UHFFFAOYSA-N,,C03030,C1=C(C(=O)NC(=O)N1)C(=O)O
C02455_alpha-Methylbenzylamine,RQEUFEKYXDPUSK-UHFFFAOYSA-N,HMDB0002017,C02455,CC(C1=CC=CC=C1)N
C05122_Taurocholate,FZLMIZAHBFKTSH-IECFWMJSSA-N,HMDB0000036,C05122,C[C@H](CCC(=O)NCCOS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3C2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C
C00378_Thiamine,JZRWCGZRTZMZEH-UHFFFAOYSA-N,HMDB0000235,C00378,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
C00655_XMP,DCTLYFZHFGENCW-UUOKFMHZSA-N,HMDB0001554,C00655,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=O)NC2=O
C00292_Aniline,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,HMDB0003012,C00292,C1=CC=C(C=C1)N
C07588_o-Hydroxyhippurate,ONJSZLXSECQROL-UHFFFAOYSA-N,HMDB0000840,C07588,C1=CC=C(C(=C1)C(=O)NCC(=O)O)O
C00835_Sepiapterin,VPVOXUSPXFPWBN-VKHMYHEASA-N,HMDB0000238,C00835,C[C@@H](C(=O)C1=NC2=C(NC1)NC(=NC2=O)N)O
C00408_Pipecolate,HXEACLLIILLPRG-YFKPBYRVSA-N,HMDB0000070,C00408,C1CCN[C@@H](C1)C(=O)O
C00131_dATP,SUYVUBYJARFZHO-RRKCRQDMSA-N,HMDB0001532,C00131,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
C02256_Castanospermine,JDVVGAQPNNXQDW-TVNFTVLESA-N,,C02256,C1CN2C[C@@H]([C@H]([C@@H]([C@H]2[C@H]1O)O)O)O
C05332_Phenethylamine,BHHGXPLMPWCGHP-UHFFFAOYSA-N,HMDB0012275,C05332,C1=CC=C(C=C1)CCN
C00021_SAH,ZJUKTBDSGOFHSH-WFMPWKQPSA-N,HMDB0000939,C00021,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N
C00506_Cysteate,XVOYSCVBGLVSOL-REOHCLBHSA-N,HMDB0002757,C00506,C([C@@H](C(=O)O)N)S(=O)(=O)O
C02129_4-Acetylbutyrate,MGTZCLMLSSAXLD-UHFFFAOYSA-N,HMDB0061881,C02129,CC(=O)CCCC(=O)O
C03406_Argininosuccinate,KDZOASGQNOPSCU-WDSKDSINSA-N,HMDB0000052,C03406,C(C[C@@H](C(=O)O)N)CN=C(N)N[C@@H](CC(=O)O)C(=O)O
"C04259_N-alpha,N-alpha-Dimethylhistidine",IMOBSLOLPCWZKQ-ZETCQYMHSA-N,,C04259,CN(C)[C@@H](CC1=CN=CN1)C(=O)O
C02890_Tetrahydropalmatine,AEQDJSLRWYMAQI-KRWDZBQOSA-N,,C02890,COC1=C(C2=C(C[C@H]3C4=CC(=C(C=C4CCN3C2)OC)OC)C=C1)OC
C02989_Methionine sulfoxide,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,HMDB0002005,C02989,CS(=O)CC[C@@H](C(=O)O)N
"C00354_F1,6P",RNBGYGVWRKECFJ-VRPWFDPXSA-N,HMDB0001058,C00354,C([C@@H]1[C@H]([C@@H](C(O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O
"C00134_Putrescine(1,4-Butanediamine)",KIDHWZJUCRJVML-UHFFFAOYSA-N,HMDB0001414,C00134,C(CCN)CN
C00155_Homocysteine,FFFHZYDWPBMWHY-VKHMYHEASA-N,,C00155,C(CS)[C@@H](C(=O)O)N
-_Phe-Phe,GKZIWHRNKRBEOH-UHFFFAOYSA-N,HMDB0013302,,C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=CC=C2)C(=O)O)N
"C03114_5,6-Dimethylbenzimidazole",LJUQGASMPRMWIW-UHFFFAOYSA-N,HMDB0003701,C03114,CC1=CC2=C(C=C1C)N=CN2
C03173_(Methylthio)acetate,HGTBAIVLETUVCG-UHFFFAOYSA-N,HMDB0035646,C03173,CSCC(=O)O
C11284_3-Indolebutyrate,JTEDVYBZBROSJT-UHFFFAOYSA-N,HMDB0002096,C11284,C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O
C00430_5-Aminolevulinate,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,HMDB0001149,C00430,C(CC(=O)O)C(=O)CN
C00019_SAM+,MEFKEPWMEQBLKI-AIRLBKTGSA-N,HMDB0001185,C00019,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O
C00750_Spermine,PFNFFQXMRSDOHW-UHFFFAOYSA-N,HMDB0001256,C00750,C(CCNCCCN)CNCCCN
C02656_Pimelate,WLJVNTCWHIRURA-UHFFFAOYSA-N,HMDB0000857,C02656,C(CCC(=O)O)CCC(=O)O
C02721_N-Methylalanine,GDFAOVXKHJXLEI-VKHMYHEASA-N,HMDB0094692,C02721,C[C@@H](C(=O)O)NC
"C03413_N1,N12-Diacetylspermine",NPDTUDWGJMBVEP-UHFFFAOYSA-N,HMDB0002172,C03413,CC(=O)NCCCNCCCCNCCCNC(=O)C
C00042_Succinate,KDYFGRWQOYBRFD-UHFFFAOYSA-N,HMDB0000254,C00042,C(CC(=O)O)C(=O)O
C00788_Epinephrine,UCTWMZQNUQWSLP-VIFPVBQESA-N,HMDB0000068,C00788,CNC[C@@H](C1=CC(=C(C=C1)O)O)O
C03172_S-Methylmethionine,YDBYJHTYSHBBAU-YFKPBYRVSA-O,HMDB0038670,C03172,C[S+](C)CC[C@@H](C(=O)O)N
C06337_Terephthalate,KKEYFWRCBNTPAC-UHFFFAOYSA-N,HMDB0061917,C06337,C1=CC(=CC=C1C(=O)O)C(=O)O
C00063_CTP,PCDQPRRSZKQHHS-XVFCMESISA-N,HMDB0000082,C00063,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
C00116_Glycerol,PEDCQBHIVMGVHV-UHFFFAOYSA-N,HMDB0000131,C00116,C(C(CO)O)O
C06325_2-Quinolinecarboxylate,LOAUVZALPPNFOQ-UHFFFAOYSA-N,HMDB0000842,C06325,C1=CC=C2C(=C1)C=CC(=N2)C(=O)O
C01784_Benzamidine,PXXJHWLDUBFPOL-UHFFFAOYSA-N,,C01784,C1=CC=C(C=C1)C(=N)N
-_2-Hydroxyisobutyrate,BWLBGMIXKSTLSX-UHFFFAOYSA-N,HMDB0000729,,CC(C)(C(=O)O)O
C00051_Glutathione(red),RWSXRVCMGQZWBV-WDSKDSINSA-N,HMDB0000125,C00051,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
C00048_Glyoxylate,HHLFWLYXYJOTON-UHFFFAOYSA-N,HMDB0000119,C00048,C(=O)C(=O)O
C00803_Pentanoate,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,HMDB0000892,C00803,CCCCC(=O)O
C00630_Isobutyryl CoA,AEWHYWSPVRZHCT-NDZSKPAWSA-N,HMDB0001243,C00630,CC(C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
C00156_p-Hydroxybenzoate,FJKROLUGYXJWQN-UHFFFAOYSA-N,HMDB0000500,C00156,C1=CC(=CC=C1C(=O)O)O
C08311_Muscimol,ZJQHPWUVQPJPQT-UHFFFAOYSA-N,,C08311,C1=C(ONC1=O)CN
C02299_N-Methylaniline,AFBPFSWMIHJQDM-UHFFFAOYSA-N,,C02299,CNC1=CC=CC=C1
C02678_Dodecanedioate,TVIDDXQYHWJXFK-UHFFFAOYSA-N,HMDB0000623,C02678,C(CCCCCC(=O)O)CCCCC(=O)O
C02378_6-Aminohexanoate,SLXKOJJOQWFEFD-UHFFFAOYSA-N,HMDB0001901,C02378,C(CCC(=O)O)CCN
C05341_beta-Ala-Lys,PLDCWKCPEXNWJH-ZETCQYMHSA-N,HMDB0060442,C05341,C(CCN)C[C@@H](C(=O)O)NC(=O)CCN
C00016_FAD,VWWQXMAJTJZDQX-UYBVJOGSSA-N,HMDB0001248,C00016,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O
C01950_Picolinamide,IBBMAWULFFBRKK-UHFFFAOYSA-N,,C01950,C1=CC=NC(=C1)C(=O)N
C01606_Phthalate,XNGIFLGASWRNHJ-UHFFFAOYSA-N,HMDB0002107,C01606,C1=CC=C(C(=C1)C(=O)O)C(=O)O
C00631_2PG,GXIURPTVHJPJLF-UWTATZPHSA-N,HMDB0003391,C00631,C([C@H](C(=O)O)OP(=O)(O)O)O
C01620_Threonate,JPIJQSOTBSSVTP-STHAYSLISA-N,HMDB0000943,C01620,C([C@@H]([C@H](C(=O)O)O)O)O
C00160_Glycolate,AEMRFAOFKBGASW-UHFFFAOYSA-N,,C00160,C(C(=O)O)O
C02226_Citraconate,HNEGQIOMVPPMNR-IHWYPQMZSA-N,HMDB0000634,C02226,C/C(=C/C(=O)O)/C(=O)O
C00584_Prostaglandin E2,XEYBRNLFEZDVAW-ARSRFYASSA-N,HMDB0001220,C00584,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O
C00581_Guanidinoacetate,BPMFZUMJYQTVII-UHFFFAOYSA-N,HMDB0000128,C00581,C(C(=O)O)N=C(N)N
C00104_IDP,JPXZQMKKFWMMGK-KQYNXXCUSA-N,HMDB0003335,C00104,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O
C03795_N6-Methyl-2'-deoxyadenosine,DYSDOYRQWBDGQQ-XLPZGREQSA-N,,C03795,CNC1=C2C(=NC=N1)N(C=N2)[C@H]3C[C@@H]([C@H](O3)CO)O
C00239_dCMP,NCMVOABPESMRCP-SHYZEUOFSA-N,HMDB0001202,C00239,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O
C02043_Indolelactate,XGILAAMKEQUXLS-UHFFFAOYSA-N,HMDB0000671,C02043,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O
-_2-Hydroxyoctanoate,JKRDADVRIYVCCY-UHFFFAOYSA-N,HMDB0000711,,CCCCCCC(C(=O)O)O
C02518_4-Aminosalicylate,WUBBRNOQWQTFEX-UHFFFAOYSA-N,HMDB0014378,C02518,C1=CC(=C(C=C1N)O)C(=O)O
C07044_Hydroxyurea,VSNHCAURESNICA-UHFFFAOYSA-N,HMDB0015140,C07044,C(=O)(N)NO
C02627_2-Deoxystreptamine,DTFAJAKTSMLKAT-JDCCYXBGSA-N,,C02627,
C05145_3-Aminoisobutyrate,QCHPKSFMDHPSNR-UHFFFAOYSA-N,HMDB0003911,C05145,CC(CN)C(=O)O
C00078_Trp,QIVBCDIJIAJPQS-VIFPVBQESA-N,HMDB0000929,C00078,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N
C00006_NADP+,XJLXINKUBYWONI-NNYOXOHSSA-O,HMDB0000217,C00006,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N
C05984_2-Hydroxybutyrate,AFENDNXGAFYKQO-VKHMYHEASA-N,HMDB0000008,C05984,CC[C@@H](C(=O)O)O
C00385_Xanthine,LRFVTYWOQMYALW-UHFFFAOYSA-N,HMDB0000292,C00385,C1=NC2=C(N1)C(=O)NC(=O)N2
C03557_2-Aminoethylphosphonate,QQVDJLLNRSOCEL-UHFFFAOYSA-N,HMDB0011747,C03557,C(CP(=O)(O)O)N
C01181_gamma-Butyrobetaine,JHPNVNIEXXLNTR-UHFFFAOYSA-O,HMDB0001161,C01181,C[N+](C)(C)CCCC(=O)O
C00188_Thr,AYFVYJQAPQTCCC-GBXIJSLDSA-N,HMDB0000167,C00188,C[C@H]([C@@H](C(=O)O)N)O
C00588_Phosphorylcholine,YHHSONZFOIEMCP-UHFFFAOYSA-O,HMDB0001565,C00588,C[N+](C)(C)CCOP(=O)(O)O
"C03722_2,3-Pyridinedicarboxylate",GJAWHXHKYYXBSV-UHFFFAOYSA-N,HMDB0000232,C03722,C1=CC(=C(N=C1)C(=O)O)C(=O)O
C00624_N-Acetylglutamate,RFMMMVDNIPUKGG-YFKPBYRVSA-N,HMDB0001138,C00624,CC(=O)N[C@@H](CCC(=O)O)C(=O)O
C02137_Benzoylformate,FAQJJMHZNSSFSM-UHFFFAOYSA-N,HMDB0001587,C02137,C1=CC=C(C=C1)C(=O)C(=O)O
C02918_1-Methylnicotinamide,LDHMAVIPBRSVRG-UHFFFAOYSA-O,HMDB0000699,C02918,C[N+]1=CC=CC(=C1)C(=O)N
C02727_N-epsilon-Acetyllysine,DTERQYGMUDWYAZ-ZETCQYMHSA-N,HMDB0000206,C02727,CC(=O)NCCCC[C@@H](C(=O)O)N
C01930_Lysinamide,HKXLAGBDJVHRQG-YFKPBYRVSA-N,,C01930,C(CCN)C[C@@H](C(=O)N)N
"C03793_N6,N6,N6-Trimethyllysine",MXNRLFUSFKVQSK-QMMMGPOBSA-N,HMDB0001325,C03793,C[N+](C)(C)CCCC[C@@H](C(=O)[O-])N
C00813_Barbiturate,HNYOPLTXPVRDBG-UHFFFAOYSA-N,HMDB0041833,C00813,C1C(=O)NC(=O)NC1=O
C02115_Alpha-Methylserine,CDUUKBXTEOFITR-SCSAIBSYSA-N,,C02115,C[C@@](CO)(C(=O)O)N
C00183_Val,KZSNJWFQEVHDMF-BYPYZUCNSA-N,HMDB0000883,C00183,CC(C)[C@@H](C(=O)O)N
C03782_1-Aminoethylphosphonate,UIQSKEDQPSEGAU-UWTATZPHSA-N,,C03782,C[C@H](N)P(=O)(O)O
