,inchikey,hmdb,kegg,inchi code
HILIC-neg_Cluster_0372: N-acetylglutamate,RFMMMVDNIPUKGG-YFKPBYRVSA-N,HMDB0001138,C00624,
HILIC-pos_Cluster_0113: trigonelline,WWNNZCOKKKDOPX-UHFFFAOYSA-N,HMDB0000875,C01004,
HILIC-neg_Cluster_0049: uracil,ISAKRJDGNUQOIC-UHFFFAOYSA-N,HMDB0000300,C00106,
HILIC-neg_Cluster_0232: acesulfame,YGCFIWIQZPHFLU-UHFFFAOYSA-N,HMDB0033585,,
HILIC-pos_Cluster_0152: acetylcholine,OIPILFWXSMYKGL-UHFFFAOYSA-N,HMDB0000895,C01996,
C18-neg_Cluster_0591: eicosatrienoic acid,HOBAELRKJCKHQD-QNEBEIHSSA-N,HMDB0002925,C03242,
HILIC-neg_Cluster_0841: heptadecanoate,KEMQGTRYUADPNZ-UHFFFAOYSA-N,HMDB0002259,,
HILIC-neg_Cluster_0247: L-phenyllactic acid,VOXXWSYKYCBWHO-MRVPVSSYSA-N,HMDB0000748,C05607,
C8-pos_Cluster_1495: linoleoyl ethanolamide ,KQXDGUVSAAQARU-HZJYTTRNSA-N,HMDB0012252,,
C8-pos_Cluster_0253: sphingosine,WWUZIQQURGPMPG-KRWOKUGFSA-N,HMDB0000252,C00319,
HILIC-neg_Cluster_0035: serine,MTCFGRXMJLQNBG-UHFFFAOYSA-N,HMDB0000187,C00716,
HILIC-neg_Cluster_0003: propionate,XBDQKXXYIPTUBI-UHFFFAOYSA-N,HMDB0000237,C00163,
HILIC-pos_Cluster_0086: N-acetylputrescine,KLZGKIDSEJWEDW-UHFFFAOYSA-N,HMDB0002064,C02714,
C8-pos_Cluster_1900: cholestenone,NYOXRYYXRWJDKP-GYKMGIIDSA-N,HMDB0000921,C00599,
HILIC-neg_Cluster_0181: hydrocinnamic acid,XMIIGOLPHOKFCH-UHFFFAOYSA-N,HMDB0000764,C05629,
C18-neg_Cluster_1722: cholate,BHQCQFFYRZLCQQ-OELDTZBJSA-N,HMDB0000619,C00695,
HILIC-neg_Cluster_0441: sebacate,CXMXRPHRNRROMY-UHFFFAOYSA-N,HMDB0000792,C08277,
HILIC-neg_Cluster_0335: 4-pyridoxate,HXACOUQIXZGNBF-UHFFFAOYSA-N,HMDB0000017,C00847,
HILIC-pos_Cluster_0081: pipecolic acid,HXEACLLIILLPRG-YFKPBYRVSA-N,HMDB0000070,C00408,
HILIC-neg_Cluster_0034: alpha-hydroxybutyrate,AFENDNXGAFYKQO-VKHMYHEASA-N,HMDB0000008,C05984,
HILIC-neg_Cluster_0015: alanine,QNAYBMKLOCPYGJ-REOHCLBHSA-N,HMDB0000161,C00041,
C18-neg_Cluster_1680: maslinic acid,MDZKJHQSJHYOHJ-LLICELPBSA-N,HMDB0002392,C16939,
HILIC-neg_Cluster_0032: 2-aminobutyric acid,QWCKQJZIFLGMSD-VKHMYHEASA-N,HMDB0000452,C02356,
C18-neg_Cluster_0219: 2-hydroxyhexadecanoate,JGHSBPIZNUXPLA-OAHLLOKOSA-N,HMDB0031057,,
C8-pos_Cluster_0288: palmitoyl glycerol,QHZLMUACJMDIAE-SFHVURJKSA-N,HMDB0011564,,
C18-neg_Cluster_0246: linoleic acid,OYHQOLUKZRVURQ-HZJYTTRNSA-N,HMDB0000673,C01595,
HILIC-neg_Cluster_0085: taurine,XOAAWQZATWQOTB-UHFFFAOYSA-N,HMDB0000251,C00245,
C18-neg_Cluster_1197: glycoursodeoxycholic acid,GHCZAUBVMUEKKP-XROMFQGDSA-N,HMDB0000708,,
HILIC-pos_Cluster_0009: beta-alanine,UCMIRNVEIXFBKS-UHFFFAOYSA-N,HMDB0000056,C00099,
HILIC-neg_Cluster_0480: 1-3-7-trimethylurate,BYXCFUMGEBZDDI-UHFFFAOYSA-N,HMDB0002123,C16361,
HILIC-pos_Cluster_0384: N-acetylglutamic acid,RFMMMVDNIPUKGG-YFKPBYRVSA-N,HMDB0001138,C00624,
C8-pos_Cluster_0166: sphingosine,WWUZIQQURGPMPG-KRWOKUGFSA-N,HMDB0000252,C00319,
HILIC-neg_Cluster_0254: urate,LEHOTFFKMJEONL-UHFFFAOYSA-N,HMDB0000289,C00366,
HILIC-neg_Cluster_0159: alpha-ketoglutarate,KPGXRSRHYNQIFN-UHFFFAOYSA-N,HMDB0000208,C00026,
C18-neg_Cluster_1178: cholate,BHQCQFFYRZLCQQ-OELDTZBJSA-N,HMDB0000619,C00695,
C18-neg_Cluster_1620: arachidonic acid,YZXBAPSDXZZRGB-DOFZRALJSA-N,HMDB0001043,C00219,
HILIC-pos_Cluster_0099: asparagine,DCXYFEDJOCDNAF-REOHCLBHSA-N,HMDB0000168,C00152,
C18-neg_Cluster_0064: sebacate,CXMXRPHRNRROMY-UHFFFAOYSA-N,HMDB0000792,C08277,
HILIC-pos_Cluster_0447: ADMA,YDGMGEXADBMOMJ-LURJTMIESA-N,HMDB0001539,C03626,
C18-neg_Cluster_0164: palmitoleic acid,SECPZKHBENQXJG-FPLPWBNLSA-N,HMDB0003229,C08362,
C18-neg_Cluster_0351: eicosapentaenoic acid,JAZBEHYOTPTENJ-JLNKQSITSA-N,HMDB0001999,C06428,
HILIC-neg_Cluster_0105: leucine,ROHFNLRQFUQHCH-YFKPBYRVSA-N,HMDB0000687,C00123,
"C18-neg_Cluster_0183: 1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid",ZWMZDKZTZLGVRQ-UHFFFAOYSA-N,HMDB0032102,,
C18-neg_Cluster_0111: dodecanedioic acid,TVIDDXQYHWJXFK-UHFFFAOYSA-N,HMDB0000623,C02678,
HILIC-pos_Cluster_0495: N-acetylglutamic acid,RFMMMVDNIPUKGG-YFKPBYRVSA-N,HMDB0001138,C00624,
C18-neg_Cluster_0563: palmitoylethanolamide,HXYVTAGFYLMHSO-UHFFFAOYSA-N,HMDB0002100,C16512,
C18-neg_Cluster_1575: taurodeoxycholic acid,AWDRATDZQPNJFN-GHMNEPPTSA-N,HMDB0000896,C05463,
HILIC-neg_Cluster_0706: uridine,DRTQHJPVMGBUCF-XVFCMESISA-N,HMDB0000296,C00299,
HILIC-neg_Cluster_1126: docosapentaenoate,AVKOENOBFIYBSA-WMPRHZDHSA-N,HMDB0001976,,
HILIC-pos_Cluster_0041: proline,ONIBWKKTOPOVIA-BYPYZUCNSA-N,HMDB0000162,C00148,
C18-neg_Cluster_0373: eicosenoate,BITHHVVYSMSWAG-KTKRTIGZSA-N,HMDB0002231,C16526,
C18-neg_Cluster_1129: chenodeoxycholate,RUDATBOHQWOJDD-BSWAIDMHSA-N,HMDB0000518,C02528,
HILIC-pos_Cluster_0419: N-acetylhistidine,KBOJOGQFRVVWBH-ZETCQYMHSA-N,HMDB0032055,C02997,
HILIC-neg_Cluster_0069: succite,KDYFGRWQOYBRFD-UHFFFAOYSA-N,HMDB0000254,C00042,
HILIC-neg_Cluster_0176: xylose,SRBFZHDQGSBBOR-IOVATXLUSA-N,HMDB0000098,C00181,
C18-neg_Cluster_0901: 7-ketodeoxycholate,RHCPKKNRWFXMAT-SQWYQQCBSA-N,HMDB0000391,C04643,
HILIC-neg_Cluster_0187: xanthine,LRFVTYWOQMYALW-UHFFFAOYSA-N,HMDB0000292,C00385,
C8-pos_Cluster_0123: sphingosine,WWUZIQQURGPMPG-KRWOKUGFSA-N,HMDB0000252,C00319,
HILIC-pos_Cluster_0797: thiamine,JZRWCGZRTZMZEH-UHFFFAOYSA-N,HMDB0000235,C00378,
HILIC-neg_Cluster_0064: caproic acid,FUZZWVXGSFPDMH-UHFFFAOYSA-N,HMDB0000535,C01585,
HILIC-neg_Cluster_0237: fucose,PMMURAAUARKVCB-DUVQVXGLSA-N,HMDB0012327,C02781,
C18-neg_Cluster_1081: glycolithocholic acid,XBSQTYHEGZTYJE-OETIFKLTSA-N,HMDB0000698,C15557,
HILIC-neg_Cluster_0242: phenylalanine,COLNVLDHVKWLRT-QMMMGPOBSA-N,HMDB0000159,C00079,
HILIC-neg_Cluster_0040: pyrocatechol,YCIMNLLNPGFGHC-UHFFFAOYSA-N,HMDB0000957,C15571,
HILIC-pos_Cluster_0066: taurine,XOAAWQZATWQOTB-UHFFFAOYSA-N,HMDB0000251,C00245,
HILIC-pos_Cluster_0089: hydroxyproline,PMMYEEVYMWASQN-IMJSIDKUSA-N,HMDB0240251,C01015,
C18-neg_Cluster_0530: 13-docosenoate,DPUOLQHDNGRHBS-KTKRTIGZSA-N,HMDB0002068,C08316,
HILIC-pos_Cluster_0024: serine,MTCFGRXMJLQNBG-UHFFFAOYSA-N,HMDB0000187,C00716,
C8-pos_Cluster_0988: sphingosine,WWUZIQQURGPMPG-KRWOKUGFSA-N,HMDB0000252,C00319,
C18-neg_Cluster_2068: maslinic acid,MDZKJHQSJHYOHJ-LLICELPBSA-N,HMDB0002392,C16939,
HILIC-neg_Cluster_0562: ethyl glucuronide,IWJBVMJWSPZNJH-UQGZVRACSA-N,HMDB0010325,,
HILIC-pos_Cluster_0046: valine,KZSNJWFQEVHDMF-BYPYZUCNSA-N,HMDB0000883,C00183,
HILIC-neg_Cluster_0118: malate,BJEPYKJPYRNKOW-REOHCLBHSA-N,HMDB0000156,C00149,
HILIC-pos_Cluster_0022: choline,OEYIOHPDSNJKLS-UHFFFAOYSA-N,HMDB0000097,C00114,
HILIC-pos_Cluster_0151: butyrobetaine,JHPNVNIEXXLNTR-UHFFFAOYSA-O,HMDB0001161,C01181,
HILIC-pos_Cluster_0184: pyridoxamine,NHZMQXZHNVQTQA-UHFFFAOYSA-N,HMDB0001431,C00534,
C8-pos_Cluster_0100: 7-hexadecenoic acid methyl ester,FXCDESKKWMGGON-KHPPLWFESA-N,HMDB0061858,,
HILIC-neg_Cluster_0740: deoxyinosine,VGONTNSXDCQUGY-RRKCRQDMSA-N,HMDB0000071,C05512,
HILIC-neg_Cluster_0328: homovanillate,QRMZSPFSDQBLIX-UHFFFAOYSA-N,HMDB0000118,C05582,
HILIC-neg_Cluster_0123: hypoxanthine,FDGQSTZJBFJUBT-UHFFFAOYSA-N,HMDB0000157,C00262,
C18-neg_Cluster_0171: palmitic acid,IPCSVZSSVZVIGE-UHFFFAOYSA-N,HMDB0000220,C00249,
HILIC-neg_Cluster_0299: ascorbate,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,C00072,
HILIC-neg_Cluster_0082: nicotinate,PVNIIMVLHYAWGP-UHFFFAOYSA-N,HMDB0001488,C00253,
HILIC-neg_Cluster_0174: tartarate,FEWJPZIEWOKRBE-JCYAYHJZSA-N,HMDB0000956,C00898,
HILIC-neg_Cluster_0087: thymine,RWQNBRDOKXIBIV-UHFFFAOYSA-N,HMDB0000262,C00178,
HILIC-neg_Cluster_0016: oxalate,MUBZPKHOEPUJKR-UHFFFAOYSA-N,HMDB0002329,C00209,
C18-neg_Cluster_1273: cholate,BHQCQFFYRZLCQQ-OELDTZBJSA-N,HMDB0000619,C00695,
C18-neg_Cluster_0833: deoxycholic acid,KXGVEGMKQFWNSR-LLQZFEROSA-N,HMDB0000626,C04483,
HILIC-pos_Cluster_0082: N-methylproline,CWLQUGTUXBXTLF-YFKPBYRVSA-N,HMDB0094696,,
HILIC-pos_Cluster_2093: urobilin*,DEEUSUJLZQQESV-RWPZCVJISA-N,HMDB0004160,C05793,
HILIC-pos_Cluster_0244: methionine sulfoxide,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,HMDB0002005,C02989,
HILIC-pos_Cluster_0150: 4-guanidinobutanoic acid,TUHVEAJXIMEOSA-UHFFFAOYSA-N,HMDB0003464,C01035,
C18-neg_Cluster_1196: glycodeoxycholic acid,WVULKSPCQVQLCU-BUXLTGKBSA-N,HMDB0000631,C05464,
C18-neg_Cluster_1385: maslinic acid,MDZKJHQSJHYOHJ-LLICELPBSA-N,HMDB0002392,C16939,
HILIC-neg_Cluster_0062: alpha-ketoisovalerate,QHKABHOOEWYVLI-UHFFFAOYSA-N,HMDB0000019,C00141,
HILIC-pos_Cluster_0667: anserine,MYYIAHXIVFADCU-QMMMGPOBSA-N,HMDB0000194,C01262,
HILIC-pos_Cluster_0540: pantothenate,GHOKWGTUZJEAQD-ZETCQYMHSA-N,HMDB0000210,C00864,
C18-neg_Cluster_0250: oleic acid,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,HMDB0000207,C00712,
HILIC-neg_Cluster_0401: glucurote,AEMOLEFTQBMNLQ-AQKNRBDQSA-N,HMDB0000127,C00191,
HILIC-pos_Cluster_0008: alanine,QNAYBMKLOCPYGJ-REOHCLBHSA-N,HMDB0000161,C00041,
HILIC-pos_Cluster_1148: linoleoyl ethanolamide ,KQXDGUVSAAQARU-HZJYTTRNSA-N,HMDB0012252,,
HILIC-pos_Cluster_0936: diacetylspermine,NPDTUDWGJMBVEP-UHFFFAOYSA-N,HMDB0002172,C03413,
HILIC-pos_Cluster_0590: carnosine,CQOVPNPJLQNMDC-ZETCQYMHSA-N,HMDB0000033,C00386,
C18-neg_Cluster_0244: alpha-linolenic acid,DTOSIQBPPRVQHS-PDBXOOCHSA-N,HMDB0001388,C06427,
HILIC-pos_Cluster_0734: deoxyinosine,VGONTNSXDCQUGY-RRKCRQDMSA-N,HMDB0000071,C05512,
HILIC-pos_Cluster_0333: tyrosine,OUYCCCASQSFEME-QMMMGPOBSA-N,HMDB0000158,C00082,
C18-neg_Cluster_2021: urobilin,KDCCOOGTVSRCHX-RWPZCVJISA-N,HMDB0004160,C05794,
C18-neg_Cluster_0090: acetytyrosine,SKAWDTAMLOJQNK-LBPRGKRZSA-N,HMDB0000866,C01657,
HILIC-pos_Cluster_0092: isoleucine,AGPKZVBTJJNPAG-WHFBIAKZSA-N,HMDB0000172,C00407,
HILIC-pos_Cluster_0658: geranyl acetoacetate*,RYILZWKGLGVPOC-WQLSENKSSA-N,HMDB0038256,,
HILIC-pos_Cluster_0422: 5-acetylamino-6-amino-3-methyluracil,POQOTWQIYYNXAT-UHFFFAOYSA-N,HMDB0004400,C16366,
HILIC-neg_Cluster_0203: orotate,PXQPEWDEAKTCGB-UHFFFAOYSA-N,HMDB0000226,C00295,
HILIC-pos_Cluster_0254: 3-methylxanthine,GMSNIKWWOQHZGF-UHFFFAOYSA-N,HMDB0001886,C16357,
HILIC-neg_Cluster_0129: salicylate,ONJSZLXSECQROL-UHFFFAOYSA-N,HMDB0000840,C07588,
HILIC-neg_Cluster_0133: 4-nitrophenol,BTJIUGUIPKRLHP-UHFFFAOYSA-N,HMDB0001232,C00870,
C18-neg_Cluster_0472: docosahexaenoic acid,MBMBGCFOFBJSGT-KUBAVDMBSA-N,HMDB0002183,C06429,
HILIC-pos_Cluster_0306: citrulline,RHGKLRLOHDJJDR-BYPYZUCNSA-N,HMDB0000904,C00327,
C18-neg_Cluster_0361: eicosatrienoic acid,HOBAELRKJCKHQD-QNEBEIHSSA-N,HMDB0002925,C03242,
HILIC-pos_Cluster_2052: bilirubin,BPYKTIZUTYGOLE-IFADSCNNSA-N,HMDB0000054,C00486,
"HILIC-pos_Cluster_0521: L-1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid*",FSNCEEGOMTYXKY-UHFFFAOYSA-N,HMDB0035665,,
HILIC-neg_Cluster_0112: asparagine,DCXYFEDJOCDNAF-REOHCLBHSA-N,HMDB0000168,C00152,
C18-neg_Cluster_1131: arachidonic acid,YZXBAPSDXZZRGB-DOFZRALJSA-N,HMDB0001043,C00219,
C18-neg_Cluster_0045: azelate,BDJRBEYXGGNYIS-UHFFFAOYSA-N,HMDB0000784,C08261,
C18-neg_Cluster_1372: cholate,BHQCQFFYRZLCQQ-OELDTZBJSA-N,HMDB0000619,C00695,
C18-neg_Cluster_0731: lithocholic acid,SMEROWZSTRWXGI-WFVDQZAMSA-N,HMDB0000717,C17658,
HILIC-pos_Cluster_0079: pyroglutamic acid,ODHCTXKNWHHXJC-VKHMYHEASA-N,HMDB0000267,C01879,
HILIC-pos_Cluster_0116: urocanic acid,LOIYMIARKYCTBW-OWOJBTEDSA-N,HMDB0000301,C00785,
C18-neg_Cluster_0927: alpha-muricholate,DKPMWHFRUGMUKF-GDYCBZMLSA-N,HMDB0000506,C17647,
HILIC-neg_Cluster_0059: proline,ONIBWKKTOPOVIA-BYPYZUCNSA-N,HMDB0000162,C00148,
C18-neg_Cluster_1045: chenodeoxycholate,RUDATBOHQWOJDD-BSWAIDMHSA-N,HMDB0000518,C02528,
C18-neg_Cluster_1621: cholate,BHQCQFFYRZLCQQ-OELDTZBJSA-N,HMDB0000619,C00695,
C18-neg_Cluster_0832: chenodeoxycholate,RUDATBOHQWOJDD-BSWAIDMHSA-N,HMDB0000518,C02528,
C8-pos_Cluster_0705: cholestenone,NYOXRYYXRWJDKP-GYKMGIIDSA-N,HMDB0000921,C00599,
C18-neg_Cluster_0486: carnosol,XUSYGBPHQBWGAD-PJSUUKDQSA-N,HMDB0002121,C09069,
C8-pos_Cluster_0629: cholestenone,NYOXRYYXRWJDKP-GYKMGIIDSA-N,HMDB0000921,C00599,
HILIC-neg_Cluster_0909: guanosine,NYHBQMYGNKIUIF-UUOKFMHZSA-N,HMDB0000133,C00387,
HILIC-neg_Cluster_0230: levoglucosan,TWNIBLMWSKIRAT-VFUOTHLCSA-N,HMDB0000640,,
HILIC-neg_Cluster_0332: saccharin,CVHZOJJKTDOEJC-UHFFFAOYSA-N,HMDB0029723,C12283,
HILIC-neg_Cluster_0288: suberate,TYFQFVWCELRYAO-UHFFFAOYSA-N,HMDB0000893,C08278,
HILIC-pos_Cluster_0100: ornithine,AHLPHDHHMVZTML-BYPYZUCNSA-N,HMDB0000214,C00077,
"HILIC-neg_Cluster_0622: 1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid",ZUPHXNBLQCSEIA-UHFFFAOYSA-N,HMDB0037942,,
C8-pos_Cluster_0416: cholesterol,HVYWMOMLDIMFJA-DPAQBDIFSA-N,HMDB0000067,C00187,
HILIC-pos_Cluster_0455: tryptophan,QIVBCDIJIAJPQS-VIFPVBQESA-N,HMDB0000929,C00078,
HILIC-pos_Cluster_0914: 8-hydroxy-deoxyguanosine,HCAJQHYUCKICQH-VPENINKCSA-N,HMDB0003333,,
HILIC-neg_Cluster_0365: azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,HMDB0000784,C08261,
HILIC-pos_Cluster_0246: 7-methylguanine,FZWGECJQACGGTI-UHFFFAOYSA-N,HMDB0000897,C02242,
HILIC-neg_Cluster_0120: adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,HMDB0000034,C00147,
HILIC-pos_Cluster_0156: glutamine,ZDXPYRJPNDTMRX-VKHMYHEASA-N,HMDB0000641,C00064,
HILIC-neg_Cluster_0283: shikimate,JXOHGGNKMLTUBP-HSUXUTPPSA-N,HMDB0003070,C00493,
HILIC-neg_Cluster_0073: threonine,AYFVYJQAPQTCCC-GBXIJSLDSA-N,HMDB0000167,C00188,
C18-neg_Cluster_0863: docosapentaenoic acid,YUFFSWGQGVEMMI-JLNKQSITSA-N,HMDB0006528,C16513,
HILIC-neg_Cluster_0552: pantothete,GHOKWGTUZJEAQD-ZETCQYMHSA-N,HMDB0000210,C00864,
C18-neg_Cluster_0144: 2-hydroxymyristic acid,JYZJYKOZGGEXSX-UHFFFAOYSA-N,HMDB0002261,,
HILIC-neg_Cluster_1325: linoleoyl ethanolamide,KQXDGUVSAAQARU-HZJYTTRNSA-N,HMDB0012252,,
C18-neg_Cluster_0506: adrenic acid,TWSWSIQAPQLDBP-DOFZRALJSA-N,HMDB0002226,C16527,
C18-neg_Cluster_0930: cholate,BHQCQFFYRZLCQQ-OELDTZBJSA-N,HMDB0000619,C00695,
HILIC-neg_Cluster_1002: eicosapentaenoic acid,JAZBEHYOTPTENJ-JLNKQSITSA-N,HMDB0001999,C06428,
C18-neg_Cluster_0268: hexadecanedioic acid,QQHJDPROMQRDLA-UHFFFAOYSA-N,HMDB0000672,C19615,
HILIC-neg_Cluster_0824: inosine,UGQMRVRMYYASKQ-KQYNXXCUSA-N,HMDB0000195,C00294,
C18-neg_Cluster_1275: oleanolic acid,MIJYXULNPSFWEK-GTOFXWBISA-N,HMDB0002364,C17148,
C18-neg_Cluster_1258: cholate,BHQCQFFYRZLCQQ-OELDTZBJSA-N,HMDB0000619,C00695,
C18-neg_Cluster_0490: docosapentaenoic acid,YUFFSWGQGVEMMI-JLNKQSITSA-N,HMDB0006528,C16513,
HILIC-pos_Cluster_0114: 2-hydroxyphenethylamine,ULSIYEODSMZIPX-UHFFFAOYSA-N,HMDB0001065,C02735,
HILIC-pos_Cluster_0405: caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,HMDB0001847,C07481,
HILIC-pos_Cluster_1370: 5alpha-cholestanol,QYIXCDOBOSTCEI-QCYZZNICSA-N,HMDB0000908,,
C18-neg_Cluster_1324: docosapentaenoic acid ,YUFFSWGQGVEMMI-JLNKQSITSA-N,HMDB0006528,C16513,
C8-pos_Cluster_1849: cholestenone,NYOXRYYXRWJDKP-GYKMGIIDSA-N,HMDB0000921,C00599,
HILIC-neg_Cluster_1088: linoleoyl ethanolamide ,KQXDGUVSAAQARU-HZJYTTRNSA-N,HMDB0012252,,
C18-neg_Cluster_1465: taurolithocholic acid,QBYUNVOYXHFVKC-GBURMNQMSA-N,HMDB0000722,C02592,
HILIC-neg_Cluster_0182: guanine,UYTPUPDQBNUYGX-UHFFFAOYSA-N,HMDB0000132,C00242,
