,inchikey,hmdb,kegg,inchi code
C06103_6-Hydroxyhexanoate,IWHLYPDWHHPVAA-UHFFFAOYSA-N,HMDB0012843,C06103,"InChI=1S/C6H12O3/c7-5-3-1-2-4-6(8)9/h7H,1-5H2,(H,8,9)"
C05607_3-Phenyllactate,VOXXWSYKYCBWHO-MRVPVSSYSA-N,HMDB0000779,C05607,"InChI=1S/C9H10O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8,10H,6H2,(H,11,12)/t8-/m1/s1"
C02376_5-Methylcytosine,LRSASMSXMSNRBT-UHFFFAOYSA-N,HMDB0002894,C02376,"InChI=1S/C5H7N3O/c1-3-2-7-5(9)8-4(3)6/h2H,1H3,(H3,6,7,8,9)"
C00818_Saccharate,DSLZVSRJTYRBFB-LLEIAEIESA-N,HMDB0000663,C00818,"InChI=1S/C6H10O8/c7-1(3(9)5(11)12)2(8)4(10)6(13)14/h1-4,7-10H,(H,11,12)(H,13,14)/t1-,2-,3-,4+/m0/s1"
C01346_dUDP,QHWZTVCCBMIIKE-SHYZEUOFSA-N,HMDB0001000,C01346,"InChI=1S/C9H14N2O11P2/c12-5-3-8(11-2-1-7(13)10-9(11)14)21-6(5)4-20-24(18,19)22-23(15,16)17/h1-2,5-6,8,12H,3-4H2,(H,18,19)(H,10,13,14)(H2,15,16,17)/t5-,6+,8+/m0/s1"
C00180_Benzoate,WPYMKLBDIGXBTP-UHFFFAOYSA-N,HMDB0013677,C00180,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)"
C06104_Adipate,WNLRTRBMVRJNCN-UHFFFAOYSA-N,HMDB0000448,C06104,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)"
C02515_3-Iodotyrosine,UQTZMGFTRHFAAM-ZETCQYMHSA-N,HMDB0000021,C02515,"InChI=1S/C9H10INO3/c10-6-3-5(1-2-8(6)12)4-7(11)9(13)14/h1-3,7,12H,4,11H2,(H,13,14)/t7-/m0/s1"
C00158_Citrate,KRKNYBCHXYNGOX-UHFFFAOYSA-N,HMDB0000094,C00158,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"
C02504_2-Isopropylmalate,BITYXLXUCSKTJS-ZETCQYMHSA-N,HMDB0000402,C02504,"InChI=1S/C7H12O5/c1-4(2)7(12,6(10)11)3-5(8)9/h4,12H,3H2,1-2H3,(H,8,9)(H,10,11)/t7-/m0/s1"
C00449_Saccharopine,ZDGJAHTZVHVLOT-YUMQZZPRSA-N,HMDB0000279,C00449,"InChI=1S/C11H20N2O6/c12-7(10(16)17)3-1-2-6-13-8(11(18)19)4-5-9(14)15/h7-8,13H,1-6,12H2,(H,14,15)(H,16,17)(H,18,19)/t7-,8-/m0/s1"
"C01026_N,N-Dimethylglycine",FFDGPVCHZBVARC-UHFFFAOYSA-N,HMDB0000092,C01026,"InChI=1S/C4H9NO2/c1-5(2)3-4(6)7/h3H2,1-2H3,(H,6,7)"
C03375_Bis(3-aminopropyl)amine,OTBHHUPVCYLGQO-UHFFFAOYSA-N,HMDB0011634,C03375,"InChI=1S/C6H17N3/c7-3-1-5-9-6-2-4-8/h9H,1-8H2"
C01744_3-(4-Hydroxyphenyl)propionate,NMHMNPHRMNGLLB-UHFFFAOYSA-N,HMDB0002199,C01744,"InChI=1S/C9H10O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-2,4-5,10H,3,6H2,(H,11,12)"
C08306_Hexylamine,BMVXCPBXGZKUPN-UHFFFAOYSA-N,HMDB0032323,C08306,"InChI=1S/C6H15N/c1-2-3-4-5-6-7/h2-7H2,1H3"
C00672_2-Deoxyribose 1-phosphate,KBDKAJNTYKVSEK-VPENINKCSA-N,HMDB0001351,C00672,"InChI=1S/C5H11O7P/c6-2-4-3(7)1-5(11-4)12-13(8,9)10/h3-7H,1-2H2,(H2,8,9,10)/t3-,4+,5+/m0/s1"
C11284_3-Indolebutyrate,JTEDVYBZBROSJT-UHFFFAOYSA-N,HMDB0002096,C11284,"InChI=1S/C12H13NO2/c14-12(15)7-3-4-9-8-13-11-6-2-1-5-10(9)11/h1-2,5-6,8,13H,3-4,7H2,(H,14,15)"
C00729_Tropine,CYHOMWAPJJPNMW-UHFFFAOYSA-N,METPA0074,C00729,"InChI=1S/C8H15NO/c1-9-6-2-3-7(9)5-8(10)4-6/h6-8,10H,2-5H2,1H3"
C02273_Digalacturonate,IGSYEZFZPOZFNC-LKIWRGPLSA-N,HMDB0039721,C02273,"InChI=1S/C12H18O13/c13-1-2(14)7(9(18)19)25-12(5(1)17)24-6-3(15)4(16)11(22)23-8(6)10(20)21/h1-8,11-17,22H,(H,18,19)(H,20,21)/t1-,2+,3+,4+,5+,6+,7-,8-,11?,12-/m0/s1"
C05382_S7P,JDTUMPKOJBQPKX-GBNDHIKLSA-N,HMDB0001068,C05382,"InChI=1S/C7H15O10P/c8-1-3(9)5(11)7(13)6(12)4(10)2-17-18(14,15)16/h4-8,10-13H,1-2H2,(H2,14,15,16)/t4-,5-,6-,7+/m1/s1"
C00010_CoA,RGJOEKWQDUBAIZ-IBOSZNHHSA-N,HMDB0001423,C00010,"InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/t11-,14-,15-,16+,20-/m1/s1"
C01620_Threonate,JPIJQSOTBSSVTP-STHAYSLISA-N,HMDB0000943,C01620,"InChI=1S/C4H8O5/c5-1-2(6)3(7)4(8)9/h2-3,5-7H,1H2,(H,8,9)/t2-,3+/m0/s1"
C00123_Leu,ROHFNLRQFUQHCH-YFKPBYRVSA-N,HMDB0000687,C00123,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1"
C00160_Glycolate,AEMRFAOFKBGASW-UHFFFAOYSA-N,,C00160,"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)"
C02635_3-Chloroalanine,ASBJGPTTYPEMLP-REOHCLBHSA-N,,C02635,"InChI=1S/C3H6ClNO2/c4-1-2(5)3(6)7/h2H,1,5H2,(H,6,7)/t2-/m0/s1"
C00041_Ala,QNAYBMKLOCPYGJ-REOHCLBHSA-N,HMDB0000161,C00041,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1"
C00417_cis-Aconitate,GTZCVFVGUGFEME-IWQZZHSRSA-N,HMDB0000072,C00417,"InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/b3-1-"
C00913_3-Methyladenine,FSASIHFSFGAIJM-UHFFFAOYSA-N,HMDB0011600,C00913,"InChI=1S/C6H7N5/c1-11-3-10-5(7)4-6(11)9-2-8-4/h2-3H,7H2,1H3"
C02356_2AB,QWCKQJZIFLGMSD-VKHMYHEASA-N,HMDB0000452,C02356,"InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m0/s1"
C02640_Isoamylamine,BMFVGAAISNGQNM-UHFFFAOYSA-N,HMDB0031659,C02640,"InChI=1S/C5H13N/c1-5(2)3-4-6/h5H,3-4,6H2,1-2H3"
C00993_Ala-Ala,DEFJQIDDEAULHB-SYPWQXSBSA-N,HMDB0003459,C00993,"InChI=1S/C6H12N2O3/c1-3(7)5(9)8-4(2)6(10)11/h3-4H,7H2,1-2H3,(H,8,9)(H,10,11)/t3-,4?/m1/s1"
C10600_Ibotenate,IRJCBFDCFXCWGO-UHFFFAOYSA-N,,C10600,"InChI=1S/C5H6N2O4/c6-4(5(9)10)2-1-3(8)7-11-2/h1,4H,6H2,(H,7,8)(H,9,10)"
"C00628_2,5-Dihydroxybenzoate",WXTMDXOMEHJXQO-UHFFFAOYSA-N,HMDB0000152,C00628,"InChI=1S/C7H6O4/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,8-9H,(H,10,11)"
C05582_Homovanillate,QRMZSPFSDQBLIX-UHFFFAOYSA-N,HMDB0000118,C05582,"InChI=1S/C9H10O4/c1-13-8-4-6(5-9(11)12)2-3-7(8)10/h2-4,10H,5H2,1H3,(H,11,12)"
C05672_2-Amino-3-phosphonopropionate,LBTABPSJONFLPO-UHFFFAOYSA-N,HMDB0000370,C05672,"InChI=1S/C3H8NO5P/c4-2(3(5)6)1-10(7,8)9/h2H,1,4H2,(H,5,6)(H2,7,8,9)"
C00860_Histidinol,ZQISRDCJNBUVMM-YFKPBYRVSA-N,HMDB0003431,C00860,"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"
C00104_IDP,JPXZQMKKFWMMGK-KQYNXXCUSA-N,HMDB0003335,C00104,"InChI=1S/C10H14N4O11P2/c15-6-4(1-23-27(21,22)25-26(18,19)20)24-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,21,22)(H,11,12,17)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1"
"C00354_F1,6P",RNBGYGVWRKECFJ-VRPWFDPXSA-N,HMDB0001058,C00354,"InChI=1S/C6H14O12P2/c7-4-3(1-16-19(10,11)12)18-6(9,5(4)8)2-17-20(13,14)15/h3-5,7-9H,1-2H2,(H2,10,11,12)(H2,13,14,15)/t3-,4-,5+,6?/m1/s1"
C00020_AMP,UDMBCSSLTHHNCD-KQYNXXCUSA-N,HMDB0000045,C00020,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1"
C00065_Ser,MTCFGRXMJLQNBG-REOHCLBHSA-N,HMDB0000187,C00065,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1"
C00642_p-Hydroxyphenylacetate,XQXPVVBIMDBYFF-UHFFFAOYSA-N,HMDB0000020,C00642,"InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)"
C00346_Ethanolamine phosphate,SUHOOTKUPISOBE-UHFFFAOYSA-N,HMDB0000224,C00346,"InChI=1S/C2H8NO4P/c3-1-2-7-8(4,5)6/h1-3H2,(H2,4,5,6)"
C02823_Cyanocobalamin,RMRCNWBMXRMIRW-UVKKECPRSA-L,HMDB0000607,C02823,"InChI=1S/C62H90N13O14P.CN.Co/c1-29-20-39-40(21-30(29)2)75(28-70-39)57-52(84)53(41(27-76)87-57)89-90(85,86)88-31(3)26-69-49(83)18-19-59(8)37(22-46(66)80)56-62(11)61(10,25-48(68)82)36(14-17-45(65)79)51(74-62)33(5)55-60(9,24-47(67)81)34(12-15-43(63)77)38(71-55)23-42-58(6,7)35(13-16-44(64)78)50(72-42)32(4)54(59)73-56;1-2;/h20-21,23,28,31,34-37,41,52-53,56-57,76,84H,12-19,22,24-27H2,1-11H3,(H15,63,64,65,66,67,68,69,71,72,73,74,77,78,79,80,81,82,83,85,86);;/q;;+2/p-2/t31-,34-,35-,36-,37+,41-,52-,53-,56?,57+,59-,60+,61+,62+;;/m1../s1"
C01234_1-Aminocyclopropane-1-carboxylate,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,HMDB0036458,C01234,"InChI=1S/C4H7NO2/c5-4(1-2-4)3(6)7/h1-2,5H2,(H,6,7)"
C01672_Cadaverine,VHRGRCVQAFMJIZ-UHFFFAOYSA-N,HMDB0002322,C01672,InChI=1S/C5H14N2/c6-4-2-1-3-5-7/h1-7H2
C00301_ADP-ribose,SRNWOUGRCWSEMX-KEOHHSTQSA-N,HMDB0001178,C00301,"InChI=1S/C15H23N5O14P2/c16-12-7-13(18-3-17-12)20(4-19-7)14-10(23)8(21)5(32-14)1-30-35(26,27)34-36(28,29)31-2-6-9(22)11(24)15(25)33-6/h3-6,8-11,14-15,21-25H,1-2H2,(H,26,27)(H,28,29)(H2,16,17,18)/t5-,6-,8-,9-,10-,11-,14-,15-/m1/s1"
C00131_dATP,SUYVUBYJARFZHO-RRKCRQDMSA-N,HMDB0001532,C00131,"InChI=1S/C10H16N5O12P3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(25-7)2-24-29(20,21)27-30(22,23)26-28(17,18)19/h3-7,16H,1-2H2,(H,20,21)(H,22,23)(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1"
C00366_Urate,LEHOTFFKMJEONL-UHFFFAOYSA-N,HMDB0000289,C00366,"InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)"
C00606_Cysteine sulfinate,ADVPTQAUNPRNPO-REOHCLBHSA-N,HMDB0000996,C00606,"InChI=1S/C3H7NO4S/c4-2(3(5)6)1-9(7)8/h2H,1,4H2,(H,5,6)(H,7,8)/t2-/m0/s1"
C00086_Urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,HMDB0000294,C00086,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)"
"C03283_2,4-Diaminobutyrate",OGNSCSPNOLGXSM-VKHMYHEASA-N,HMDB0002362,C03283,"InChI=1S/C4H10N2O2/c5-2-1-3(6)4(7)8/h3H,1-2,5-6H2,(H,7,8)/t3-/m0/s1"
"C00986_1,3-Diaminopropane",XFNJVJPLKCPIBV-UHFFFAOYSA-N,HMDB0000002,C00986,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2
C00345_6-Phosphogluconate,BIRSGZKFKXLSJQ-SQOUGZDYSA-N,HMDB0001316,C00345,"InChI=1S/C6H13O10P/c7-2(1-16-17(13,14)15)3(8)4(9)5(10)6(11)12/h2-5,7-10H,1H2,(H,11,12)(H2,13,14,15)/t2-,3-,4+,5-/m1/s1"
C00119_PRPP,PQGCEDQWHSBAJP-TXICZTDVSA-N,HMDB0000280,C00119,"InChI=1S/C5H13O14P3/c6-3-2(1-16-20(8,9)10)17-5(4(3)7)18-22(14,15)19-21(11,12)13/h2-7H,1H2,(H,14,15)(H2,8,9,10)(H2,11,12,13)/t2-,3-,4-,5-/m1/s1"
C00167_UDP-glucuronate,HDYANYHVCAPMJV-LXQIFKJMSA-N,HMDB0000935,C00167,"InChI=1S/C15H22N2O18P2/c18-5-1-2-17(15(26)16-5)12-9(22)6(19)4(32-12)3-31-36(27,28)35-37(29,30)34-14-10(23)7(20)8(21)11(33-14)13(24)25/h1-2,4,6-12,14,19-23H,3H2,(H,24,25)(H,27,28)(H,29,30)(H,16,18,26)/t4-,6-,7+,8+,9-,10-,11+,12-,14-/m1/s1"
C03570_Mannosamine,MSWZFWKMSRAUBD-CBPJZXOFSA-N,,C03570,"InChI=1S/C6H13NO5/c7-3-5(10)4(9)2(1-8)12-6(3)11/h2-6,8-11H,1,7H2/t2-,3+,4-,5-,6?/m1/s1"
C00148_Pro,ONIBWKKTOPOVIA-BYPYZUCNSA-N,HMDB0000162,C00148,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1"
C03758_Dopamine,VYFYYTLLBUKUHU-UHFFFAOYSA-N,HMDB0000073,C03758,"InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2"
"C02953_7,8-Dihydrobiopterin",FEMXZDUTFRTWPE-DZSWIPIPSA-N,HMDB0000038,C02953,"InChI=1S/C9H13N5O3/c1-3(15)6(16)4-2-11-7-5(12-4)8(17)14-9(10)13-7/h3,6,15-16H,2H2,1H3,(H4,10,11,13,14,17)/t3-,6-/m0/s1"
C01601_Pelargonate,FBUKVWPVBMHYJY-UHFFFAOYSA-N,HMDB0000847,C01601,"InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)"
C01606_Phthalate,XNGIFLGASWRNHJ-UHFFFAOYSA-N,HMDB0002107,C01606,"InChI=1S/C8H6O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)(H,11,12)"
C02009_Benzimidazole,HYZJCKYKOHLVJF-UHFFFAOYSA-N,,C02009,"InChI=1S/C7H6N2/c1-2-4-7-6(3-1)8-5-9-7/h1-5H,(H,8,9)"
C00242_Guanine,UYTPUPDQBNUYGX-UHFFFAOYSA-N,HMDB0000132,C00242,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)"
C03264_2-Hydroxy-4-methylpentanoate,LVRFTAZAXQPQHI-RXMQYKEDSA-N,HMDB0000665,C03264,"InChI=1S/C6H12O3/c1-4(2)3-5(7)6(8)9/h4-5,7H,3H2,1-2H3,(H,8,9)/t5-/m1/s1"
C02567_N1-Acetylspermine_div,GUNURVWAJRRUAV-UHFFFAOYSA-N,HMDB0001186,C02567,"InChI=1S/C12H28N4O/c1-12(17)16-11-5-10-15-8-3-2-7-14-9-4-6-13/h14-15H,2-11,13H2,1H3,(H,16,17)"
"C02465_3,3',5-Triiodothyronine",AUYYCJSJGJYCDS-LBPRGKRZSA-N,HMDB0000265,C02465,"InChI=1S/C15H12I3NO4/c16-9-6-8(1-2-13(9)20)23-14-10(17)3-7(4-11(14)18)5-12(19)15(21)22/h1-4,6,12,20H,5,19H2,(H,21,22)/t12-/m0/s1"
